INSTNM,latitude,longitude,STABBR,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,PPTUG_EF
Northwest Technical Institute,36.1786,-94.1164,AR,0.7167,1048.0,252.0,7077.0,18259.0,0.46545000000000003,0.0,0.2137,0.0317
Ouachita Baptist University,34.125,-93.0524,AR,0.7011,1090.0,1513.0,8792.0,16424.0,0.6022,0.5033,0.2702,0.0066
College of the Ouachitas,34.3787,-92.8214,AR,0.7167,1048.0,817.0,8758.0,18259.0,0.46545000000000003,0.199,0.3697,0.3231
Ozarka College,36.053,-91.8964,AR,0.7167,1048.0,1226.0,6035.0,18259.0,0.46545000000000003,0.4618,0.7091,0.2985
University of the Ozarks,35.4778,-93.4679,AR,0.6136,1057.0,568.0,8792.0,15402.0,0.4831,0.4826,0.3906,0.0053
University of Arkansas Community College-Morrilton,35.1721,-92.7285,AR,0.5838,930.0,2077.0,6770.0,18259.0,0.46545000000000003,0.4113,0.672,0.3895
Philander Smith College,34.7367,-92.2824,AR,0.7167,1048.0,554.0,8792.0,19029.0,0.4462,0.8784,0.7282,0.056
Phillips Community College of the University of Arkansas,34.545,-90.6177,AR,0.7167,1048.0,986.0,10838.0,18259.0,0.46545000000000003,0.0354,0.396,0.3225
Southeast Arkansas College,34.2098,-92.0247,AR,0.7167,1048.0,1415.0,5233.0,18259.0,0.46545000000000003,0.7236,0.5864,0.4212
Professional Cosmetology Education Center,33.2151,-92.6631,AR,0.7167,1048.0,50.0,8792.0,7502.0,0.46545000000000003,0.8462,0.7077,0.0
Pulaski Technical College,34.7824,-92.2997,AR,0.7167,1048.0,9480.0,13349.0,18259.0,0.46545000000000003,0.6226,0.5737,0.4742
